,text,answer_start,q_idx
0,교향곡,54,6566495-0-0
1,1악장,421,6566495-0-1
2,베토벤의 교향곡 9번,194,6566495-0-2
3,파우스트,15,6566518-0-0
4,합창교향곡,354,6566518-0-1
5,1839,0,5917067-0-0
6,파리,410,5917067-0-1
7,드레스덴,534,5917067-0-2
8,한스 폰 뷜로,402,6566495-1-0
9,리스트,23,6566495-1-1
10,20루이의 금,345,6566495-1-2
11,리스트,23,6566518-1-0
12,한스 폰 뷜로,402,6566518-1-1
13,리스트,23,5917067-1-0
14,한스 폰 뷜로,402,5917067-1-1
15,1840년,3,5917067-1-2
16,"주제, 동기",70,6566495-2-0
17,제1바이올린,148,6566495-2-1
18,소나타 형식,272,6566495-2-2
19,저음 주제,102,6566518-2-0
20,D장조,409,6566518-2-1
21,4/4박자,35,5917067-2-0
22,"고뇌와 갈망 동기, 청춘의 사랑 동기",115,5917067-2-1
23,D장조,409,5917067-2-2
24,커닐링구스,0,6561639-0-0
25,클리토리스,218,6561639-0-1
26,커닐링구스,0,6561642-0-0
27,클리토리스,218,6561642-0-1
28,구강성교,80,6561653-0-0
29,클리토리스,218,6561653-0-1
30,쉐어 하이트,61,6561639-1-0
31,개인 위생,357,6561639-1-1
32,80%,17,6561642-1-0
33,쉐어 하이트,61,6561642-1-1
34,음핵 자극,39,6561653-1-0
35,음순,208,6561653-1-1
36,배꼽,88,6561639-2-0
37,포도주,116,6561639-2-1
38,배꼽,88,6561642-2-0
39,칵테일,261,6561642-2-1
40,배꼽,88,6561653-2-0
41,영적인 의미,459,6561653-2-1
42,와카야마,92,6464838-0-0
43,오노야마 고개,293,6464838-0-1
44,와카야마 역,321,6570133-0-0
45,1994년,400,6570133-0-1
46,와카야마,92,6570134-0-0
47,특급 열차,370,6570134-0-1
48,1994년,400,6570134-0-2
49,쾌속과 보통,27,6464838-1-0
50,이북 구간,128,6464838-1-1
51,시간표 개정,365,6464838-1-2
52,히네노 역,105,6570133-1-0
53,2008년,352,6570133-1-1
54,히네노 역,105,6570134-1-0
55,특급,172,6570134-1-1
56,2008년,352,6570134-1-2
57,복선화,50,6464838-2-0
58,8량,334,6464838-2-1
59,복선화,217,6464838-2-2
60,야마토지 선,12,6570133-2-0
61,2008년,65,6570133-2-1
62,야마토지 선,222,6570134-2-0
63,8량,334,6570134-2-1
64,하루카 호,64,6464838-3-0
65,하루카,100,6464838-3-1
66,6량,297,6464838-3-2
67,간사이 공항선,47,6570134-3-0
68,임시 열차,250,6570134-3-1
69,9량,321,6570134-3-2
70,홈 라이너 이즈미,36,6464838-4-0
71,한와 라이너,182,6464838-4-1
72,6월 1일,356,6464838-4-2
73,1986년,144,6570133-4-0
74,1984년,0,6570133-4-1
75,한와 라이너,182,6570134-4-0
76,와카야마 역,168,6570134-4-1
77,2009년,312,6570134-4-2
78,교바시,211,6464838-5-0
79,8량,347,6464838-5-1
80,덴마 역과 사쿠라노미야,461,6464838-5-2
81,1994년,111,6570133-5-0
82,2008년,572,6570133-5-1
83,간사이 공항 특급 하루카,34,6570134-5-0
84,2008년,436,6570134-5-1
85,윙,560,6570134-5-2
86,기슈지 쾌속,3,6464838-6-0
87,교바시,200,6464838-6-1
88,1999년,123,6570133-6-0
89,오사카 순환선,147,6570133-6-1
90,기슈지 쾌속,3,6570134-6-0
91,와카야마 역,646,6570134-6-1
92,10편,135,6464838-7-0
93,각각 1편씩,345,6464838-7-1
94,2008년,7,6570133-7-0
95,오사카 순환선,89,6570133-7-1
96,직통 쾌속,0,6570134-7-0
97,223계,116,6570134-7-1
98,시간당 3편씩,276,6464838-8-0
99,대피 설비,191,6464838-8-1
100,대피 설비,191,6570134-8-0
101,3편,280,6570134-8-1
102,제2차 세계 대전,99,6508132-0-0
103,보이시에흐 나이사레크,366,6508132-0-1
104,빌헬름 헤닝센,240,6508132-0-2
105,1939년,0,6508174-0-0
106,보이시에흐 나이사레크,366,6508174-0-1
107,기관총,379,6508174-0-2
108,1939년 9월 1일,0,6110154-0-0
109,폴란드군 하사,358,6110154-0-1
110,폴란드,88,6110154-0-2
111,1명,426,6508174-1-0
112,16명,506,6508174-1-1
113,헨리크 수하르스키,573,6508174-1-2
114,단치히 경찰,41,6110154-1-0
115,1명,426,6110154-1-1
116,16명,506,6110154-1-2
117,헨리크 수하르스키,12,6508132-2-0
118,비르투티 밀리타리 훈장,113,6508132-2-1
119,프란치셰크 동브로프스키,34,6508174-2-0
120,1946년,69,6508174-2-1
121,1946년,69,6110154-2-0
122,프란치셰크 동브로프스키,34,6110154-2-1
123,미국 샌디에이고,388,6237013-0-0
124,해마를 포함한 내측측두엽,89,6237013-0-1
125,뇌전증,69,6571357-0-0
126,1957년 말,145,6571357-0-1
127,미국 샌디에이고,388,6571357-0-2
128,심한 순행성 기억 상실,38,6571357-1-0
129,11년전,259,6571357-1-1
130,작업기억실험,191,6237013-2-0
131,지능 검사,23,6237013-2-1
132,정상,36,6571357-2-0
133,중앙측두엽 구조물,353,6571357-2-1
134,5년,196,6237013-3-0
135,공간 레이아웃의 인지 지도,334,6237013-3-1
136,공간기억과 공간 정보,31,6571357-3-0
137,5년 후,196,6571357-3-1
138,퇴행성 기억상실증,134,6237013-4-0
